ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001137,0.000000160
4,0.000001268,0.000000392
8,0.000004343,0.000001971
16,0.000024312,0.000013464
32,0.000151559,0.000104516
64,0.000991902,0.000841729
128,0.005445746,0.004846482
256,0.043156979,0.041060322
512,0.354211129,0.345591613
1024,3.020742091,2.987243450
2048,30.189671073,30.056201636
4096,251.189080287,250.671950525
