ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001141,0.000000285
4,0.000000954,0.000000284
8,0.000003237,0.000001348
16,0.000020360,0.000009238
32,0.000103525,0.000072100
64,0.000724878,0.000598630
128,0.005222239,0.004717308
256,0.040735462,0.038769861
512,0.346126438,0.337460205
1024,2.766377427,2.733493252
2048,22.780051055,22.651853853
4096,177.282822205,176.768893337
