ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000002508,0.000000320
4,0.000000896,0.000000271
8,0.000003178,0.000001275
16,0.000018613,0.000009457
32,0.000109192,0.000074548
64,0.000745742,0.000614851
128,0.005563885,0.005027181
256,0.043536275,0.041227205
512,0.350370681,0.341465484
1024,2.584242293,2.550907183
2048,17.941256016,17.808853291
4096,143.859767747,143.360880517
