ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001330,0.000000367
4,0.000001109,0.000000464
8,0.000004649,0.000001672
16,0.000019570,0.000011329
32,0.000121424,0.000088369
64,0.000820919,0.000677265
128,0.005528583,0.005009950
256,0.043598588,0.041493140
512,0.293121312,0.284663374
1024,2.288742133,2.255627784
2048,18.250314302,18.125131667
4096,144.890171267,144.410362681
