ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001516,0.000000361
4,0.000001443,0.000000509
8,0.000004960,0.000002311
16,0.000028861,0.000017499
32,0.000189658,0.000145616
64,0.001337430,0.001170511
128,0.008410793,0.007777383
256,0.045983637,0.043715812
512,0.338083288,0.329420480
1024,2.585938606,2.551309829
2048,19.240240852,19.104795530
4096,155.531990428,155.033542970
