ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000058462,0.000000636
4,0.000002766,0.000001014
8,0.000009423,0.000005127
16,0.000063876,0.000037305
32,0.000368194,0.000306827
64,0.002676210,0.002464399
128,0.018666178,0.017845403
256,0.109083188,0.106095227
512,0.710492882,0.701450546
1024,4.873232865,4.844489288
2048,41.739134097,41.622229476
4096,334.769320970,334.299785585
