ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000070124,0.000000576
4,0.000003378,0.000001262
8,0.000012316,0.000007115
16,0.000068663,0.000049148
32,0.000438052,0.000373436
64,0.003123703,0.002867657
128,0.021824819,0.020827645
256,0.116144449,0.112634561
512,0.706173053,0.697070572
1024,4.539533937,4.511129799
2048,36.886857866,36.769609899
4096,292.485729953,292.015791434
