Particles = 14000000, Maxiter = 10

NX=250 NY=100
----------

--- Threads = 1 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
10	0.045730	0.008954	0.054684
SUM	0.457031	0.092686	0.549717

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.045572	0.009668	0.055240
2	0.045529	0.009188	0.054717
3	0.045699	0.008785	0.054484
4	0.045426	0.009580	0.055006
5	0.045643	0.009884	0.055527
6	0.045549	0.008880	0.054429
7	0.045490	0.008785	0.054275
8	0.045773	0.009695	0.055468
9	0.045561	0.008879	0.054440
10	0.045359	0.008834	0.054193
SUM	0.455601	0.092178	0.547779

--- Threads = 16 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.045486	0.009695	0.055181
2	0.046040	0.008978	0.055018
3	0.045556	0.009486	0.055042
4	0.046304	0.010199	0.056503
5	0.045536	0.008936	0.054472
6	0.045530	0.009113	0.054643
7	0.045834	0.010026	0.055860
8	0.045790	0.009633	0.055423
9	0.045776	0.009021	0.054797
10	0.045680	0.010191	0.055871
SUM	0.457532	0.095278	0.552810

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.045405	0.008919	0.054324
2	0.045847	0.009516	0.055363
3	0.045650	0.009194	0.054844
4	0.045845	0.009676	0.055521
5	0.045757	0.009986	0.055743
6	0.045381	0.009593	0.054974
7	0.045738	0.009090	0.054828
8	0.045580	0.009843	0.055423
9	0.045441	0.009496	0.054937
10	0.045704	0.008948	0.054652
SUM	0.456348	0.094261	0.550609
