ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000032949,0.000000309
4,0.000001337,0.000000449
8,0.000004724,0.000002542
16,0.000029920,0.000020958
32,0.000197973,0.000169174
64,0.001342821,0.001227117
128,0.011496320,0.011049799
256,0.089858994,0.088029298
512,0.810678790,0.803297412
1024,6.808539918,6.777929945
2048,112.031073879,111.905533107
4096,1347.628846408,1347.130276854
