ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001461,0.000000223
4,0.000001424,0.000000443
8,0.000005043,0.000002415
16,0.000035247,0.000015324
32,0.000164114,0.000117638
64,0.001106456,0.000936167
128,0.007791025,0.007170399
256,0.045612929,0.043328341
512,0.440245155,0.431511660
1024,4.173409506,4.140110253
2048,72.776098310,72.643170749
4096,717.589175000,717.076449703
