label,timestamp,nx,ny,npoints,maxiter,total_cores,best_mpi,best_omp,total_time,interp,norm,reverse,mover
config_e,2026-04-30 02:45:00,1000,400,14000000,10,1,1,1,4.688218,2.171714,0.011918,0.001851,2.502735
config_e,2026-04-30 02:45:00,1000,400,14000000,10,2,2,1,2.506611,1.190184,0.012065,0.001858,1.302504
config_e,2026-04-30 02:45:00,1000,400,14000000,10,4,4,1,1.297488,0.641491,0.012089,0.001869,0.642039
config_e,2026-04-30 02:45:00,1000,400,14000000,10,8,8,1,0.863845,0.437828,0.015101,0.002803,0.408113
config_e,2026-04-30 02:45:00,1000,400,14000000,10,16,8,2,0.914429,0.504226,0.014993,0.002329,0.392881
config_e,2026-04-30 02:45:00,1000,400,14000000,10,32,8,4,1.002563,0.582245,0.014710,0.002386,0.403222
config_e,2026-04-30 02:45:00,1000,400,14000000,10,64,64,1,1.110472,0.962286,0.024024,0.009991,0.114171
