label,timestamp,nx,ny,npoints,maxiter,total_cores,best_mpi,best_omp,total_time,interp,norm,reverse,mover
config_c,2026-04-30 02:13:37,500,200,3600000,10,1,1,1,1.298214,0.606448,0.003311,0.000586,0.687869
config_c,2026-04-30 02:13:37,500,200,3600000,10,2,2,1,0.642789,0.306917,0.003003,0.000557,0.332312
config_c,2026-04-30 02:13:37,500,200,3600000,10,4,4,1,0.347787,0.180615,0.003029,0.000568,0.163575
config_c,2026-04-30 02:13:37,500,200,3600000,10,8,8,1,0.185961,0.092083,0.003314,0.000633,0.089931
config_c,2026-04-30 02:13:37,500,200,3600000,10,16,16,1,0.131354,0.071047,0.004075,0.000671,0.055561
config_c,2026-04-30 02:13:37,500,200,3600000,10,32,16,2,0.172721,0.112290,0.004378,0.000765,0.055288
config_c,2026-04-30 02:13:37,500,200,3600000,10,64,16,4,0.158333,0.097574,0.004406,0.000856,0.055497
