label,timestamp,nx,ny,npoints,maxiter,total_cores,best_mpi,best_omp,total_time,interp,norm,reverse,mover
config_a,2026-04-30 02:02:04,250,100,900000,10,1,1,1,0.338714,0.152097,0.001011,0.000248,0.185358
config_a,2026-04-30 02:02:04,250,100,900000,10,2,2,1,0.134667,0.062319,0.000777,0.000227,0.071344
config_a,2026-04-30 02:02:04,250,100,900000,10,4,4,1,0.082420,0.045447,0.000782,0.000222,0.035969
config_a,2026-04-30 02:02:04,250,100,900000,10,8,8,1,0.041178,0.020365,0.000864,0.000257,0.019692
config_a,2026-04-30 02:02:04,250,100,900000,10,16,16,1,0.026986,0.014902,0.000956,0.000202,0.010926
config_a,2026-04-30 02:02:04,250,100,900000,10,32,16,2,0.036360,0.024191,0.001022,0.000208,0.010939
config_a,2026-04-30 02:02:04,250,100,900000,10,64,16,4,0.029678,0.016924,0.001178,0.000403,0.011173
