label,timestamp,nx,ny,npoints,maxiter,total_cores,best_mpi,best_omp,total_time,interp,norm,reverse,mover
config_b,2026-04-30 02:08:19,250,100,5000000,10,1,1,1,1.498021,0.679037,0.000803,0.000233,0.817948
config_b,2026-04-30 02:08:19,250,100,5000000,10,2,2,1,0.728185,0.327593,0.000786,0.000219,0.399587
config_b,2026-04-30 02:08:19,250,100,5000000,10,4,4,1,0.382303,0.182268,0.000783,0.000228,0.199024
config_b,2026-04-30 02:08:19,250,100,5000000,10,8,8,1,0.225409,0.114328,0.000864,0.000248,0.109969
config_b,2026-04-30 02:08:19,250,100,5000000,10,16,16,1,0.125434,0.063179,0.001018,0.000265,0.060972
config_b,2026-04-30 02:08:19,250,100,5000000,10,32,16,2,0.125660,0.061747,0.001064,0.000374,0.062475
config_b,2026-04-30 02:08:19,250,100,5000000,10,64,16,4,0.126824,0.063573,0.001225,0.000453,0.061573
