Iter	Interp	MoverSerial	MoverParallel	TotalSerial	TotalParallel
1	0.370000	0.350000	0.470000	0.720000	0.840000
2	0.320000	0.590000	0.430000	0.910000	0.750000
3	0.310000	0.600000	0.400000	0.910000	0.710000
4	0.320000	0.600000	0.420000	0.920000	0.740000
5	0.330000	0.590000	0.420000	0.920000	0.750000
6	0.330000	0.590000	0.420000	0.920000	0.750000
7	0.330000	0.600000	0.410000	0.930000	0.740000
8	0.330000	0.590000	0.400000	0.920000	0.730000
9	0.330000	0.590000	0.400000	0.920000	0.730000
10	0.320000	0.590000	0.400000	0.910000	0.720000

Total Interpolation Time: 3.290000 seconds
Total Mover Serial Time: 5.690000 seconds
Total Mover Parallel Time: 4.170000 seconds
Total Simulation Time Serial: 8.980000 seconds
Total Simulation Time Parallel: 7.460000 seconds
