POINTS: 100

Iter	Interp
1	0.000000	
2	0.000000	
3	0.000000	
4	0.000000	
5	0.000000	
6	0.000000	
7	0.000000	
8	0.000000	
9	0.000000	
10	0.000000	

POINTS: 10000

Iter	Interp
1	0.000000	
2	0.000000	
3	0.000000	
4	0.000000	
5	0.000000	
6	0.000000	
7	0.000000	
8	0.000000	
9	0.000000	
10	0.000000	

POINTS: 1e+06

Iter	Interp
1	0.030000	
2	0.030000	
3	0.030000	
4	0.030000	
5	0.030000	
6	0.030000	
7	0.030000	
8	0.030000	
9	0.030000	
10	0.030000	

POINTS: 1e+08

Iter	Interp
1	2.230000	
2	2.220000	
3	2.210000	
4	2.220000	
5	2.220000	
6	2.210000	
7	2.210000	
8	2.220000	
9	2.210000	
10	2.220000	

POINTS: 1e+09

Iter	Interp
1	22.170000	
2	22.170000	
3	22.160000	
4	22.200000	
5	22.180000	
6	22.190000	
7	22.200000	
8	22.190000	
9	22.200000	
10	22.190000	

