POINTS: 100

Iter	Interp
1	0.000000	
2	0.000000	
3	0.000000	
4	0.000000	
5	0.000000	
6	0.000000	
7	0.000000	
8	0.000000	
9	0.000000	
10	0.000000	

POINTS: 10000

Iter	Interp
1	0.000000	
2	0.000000	
3	0.000000	
4	0.000000	
5	0.000000	
6	0.000000	
7	0.000000	
8	0.000000	
9	0.000000	
10	0.000000	

POINTS: 1e+06

Iter	Interp
1	0.050000	
2	0.040000	
3	0.040000	
4	0.030000	
5	0.040000	
6	0.030000	
7	0.030000	
8	0.030000	
9	0.030000	
10	0.030000	

POINTS: 1e+08

Iter	Interp
1	2.500000	
2	2.510000	
3	2.520000	
4	2.500000	
5	2.500000	
6	2.510000	
7	2.500000	
8	2.500000	
9	2.510000	
10	2.500000	

POINTS: 1e+09

Iter	Interp
1	25.030000	
2	25.050000	
3	25.070000	
4	25.040000	
5	25.100000	
6	25.040000	
7	25.050000	
8	25.040000	
9	25.060000	
10	25.050000	

