Iter	Interp	MoverSerial	MoverParallel	TotalSerial	TotalParallel
1	0.410000	0.350000	0.450000	0.760000	0.860000
2	0.430000	0.590000	0.390000	1.020000	0.820000
3	0.370000	0.590000	0.390000	0.960000	0.760000
4	0.360000	0.590000	0.400000	0.950000	0.760000
5	0.610000	0.600000	0.390000	1.210000	1.000000
6	0.600000	0.590000	0.390000	1.190000	0.990000
7	0.370000	0.590000	0.380000	0.960000	0.750000
8	0.370000	0.590000	0.390000	0.960000	0.760000
9	0.390000	0.590000	0.390000	0.980000	0.780000
10	0.370000	0.590000	0.390000	0.960000	0.760000

Total Interpolation Time: 4.280000 seconds
Total Mover Serial Time: 5.670000 seconds
Total Mover Parallel Time: 3.960000 seconds
Total Simulation Time Serial: 9.950000 seconds
Total Simulation Time Parallel: 8.240000 seconds
