Particles = 14000000, Maxiter = 10

NX=250 NY=100
----------

--- Threads = 1 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
3	0.437079	0.060260	0.497340
4	0.437325	0.059886	0.497211
5	0.436647	0.059766	0.496413
6	0.437205	0.059872	0.497077
7	0.436655	0.059901	0.496556
8	0.436882	0.059954	0.496836
9	0.436748	0.059825	0.496573
10	0.436901	0.059889	0.496790
SUM	4.368478	0.599689	4.968168

--- Threads = 16 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.436462	0.054244	0.490706
2	0.437492	0.052987	0.490479
3	0.436897	0.054794	0.491691
4	0.438009	0.054505	0.492515
5	0.691217	0.053777	0.744995
6	0.437170	0.054158	0.491328
7	0.436905	0.054718	0.491623
8	0.436897	0.054349	0.491246
9	0.436992	0.054016	0.491009
10	0.437424	0.055397	0.492821
SUM	4.625466	0.542945	5.168411

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.437143	0.051583	0.488726
2	0.438075	0.050884	0.488958
3	0.437828	0.051359	0.489187
4	0.524799	0.052547	0.577346
5	0.522663	0.050890	0.573553
6	0.468522	0.051339	0.519861
7	0.645232	0.050001	0.695233
8	0.690955	0.051325	0.742280
9	0.484649	0.051474	0.536123
10	0.437227	0.056622	0.493849
SUM	5.087094	0.518023	5.605116
