ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000050301,0.000000376
4,0.000002073,0.000000707
8,0.000007456,0.000004010
16,0.000043465,0.000029800
32,0.000297683,0.000253876
64,0.002159538,0.001980918
128,0.016943895,0.016258991
256,0.132791510,0.130257451
512,1.003156307,0.994577285
1024,7.915590013,7.885192444
2048,171.637677822,171.512644386
4096,1481.375234654,1480.875794241
