POINTS: 100

Iter	Interp
1	0.001219	
2	0.000007	
3	0.000005	
4	0.000005	
5	0.000005	
6	0.000009	
7	0.000006	
8	0.000006	
9	0.000006	
10	0.000005	

POINTS: 10000

Iter	Interp
1	0.001390	
2	0.000133	
3	0.000136	
4	0.000136	
5	0.000109	
6	0.000105	
7	0.000114	
8	0.000108	
9	0.000111	
10	0.000154	

POINTS: 1e+06

Iter	Interp
1	0.014738	
2	0.014317	
3	0.012790	
4	0.013737	
5	0.014160	
6	0.014225	
7	0.013332	
8	0.013296	
9	0.013156	
10	0.013193	

POINTS: 1e+08

Iter	Interp
1	1.314036	
2	1.297027	
3	1.317272	
4	1.302077	
5	1.299115	
6	1.296121	
7	1.325311	
8	1.309045	
9	1.314111	
10	1.328352	

