Iter	Interp	MoverSerial	MoverParallel	TotalSerial	TotalParallel
1	0.178633	0.348934	0.103452	0.527567	0.282085
2	0.222154	0.334980	0.106148	0.557134	0.328302
3	0.212298	0.330008	0.103891	0.542306	0.316189
4	0.221148	0.329638	0.108852	0.550786	0.330000
5	0.208229	0.350020	0.106764	0.558249	0.314993
6	0.222467	0.353926	0.111884	0.576393	0.334351
7	0.223536	0.341488	0.106165	0.565024	0.329701
8	0.215976	0.363972	0.104284	0.579948	0.320260
9	0.218551	0.346556	0.103395	0.565107	0.321946
10	0.213284	0.329683	0.097621	0.542967	0.310905

Total Interpolation Time: 2.136276 seconds
Total Mover Serial Time: 3.429205 seconds
Total Mover Parallel Time: 1.052456 seconds
Total Simulation Time Serial: 5.565481 seconds
Total Simulation Time Parallel: 3.188732 seconds
