POINTS: 100

Iter	Interp
1	0.000272	
2	0.000004	
3	0.000004	
4	0.000004	
5	0.000004	
6	0.000005	
7	0.000005	
8	0.000005	
9	0.000005	
10	0.000005	

POINTS: 10000

Iter	Interp
1	0.000557	
2	0.000353	
3	0.000362	
4	0.000355	
5	0.000355	
6	0.000360	
7	0.000354	
8	0.000352	
9	0.000360	
10	0.000353	

POINTS: 1e+06

Iter	Interp
1	0.008600	
2	0.008825	
3	0.008749	
4	0.008746	
5	0.008646	
6	0.008452	
7	0.008047	
8	0.008321	
9	0.008070	
10	0.008211	

POINTS: 1e+08

Iter	Interp
1	0.785354	
2	0.781927	
3	0.773667	
4	0.776219	
5	0.774428	
6	0.772708	
7	0.775772	
8	0.842665	
9	0.822499	
10	0.827469	

